선박명,IMO,제재프로그램,선종,선적국,총톤수
MAR AZUL,,CUBA,Tug,Cuba,212
EBANO,7406784,CUBA,General Cargo,Panama,1865
TIFON,7206512,CUBA,Tug,Cuba,189
ARTAVIL,9187629,IRAN,Crude/Oil Products Tanker,Iran,"56,068"
ARK III,9187655,IRAN,Crude/Oil Products Tanker,Iran,"56,068"
ARGO I,9187667,IRAN,Crude/Oil Products Tanker,Iran,"56,068"
ARNICA,9187643,IRAN,Crude/Oil Products Tanker,Iran,"56,068"
APAMA,9187631,IRAN,Crude/Oil Products Tanker,Iran,"56,068"
BANEH,8508462,IRAN,Landing Craft,Iran,478
DIAMOND II,9218478,IRAN,Crude Oil Tanker,Iran,"160,576"
DREAM II,9356593,IRAN,Crude Oil Tanker,Iran,"164,241"
DEEP SEA,9218492,IRAN,Crude Oil Tanker,Iran,"160,576"
DORE,9357717,IRAN,Crude Oil Tanker,Iran,"164,241"
DOVER,9218466,IRAN,Crude Oil Tanker,Iran,"160,576"
DEVON,9218454,IRAN,Crude Oil Tanker,None Identified,"160,576"
DOWNY,9218480,IRAN,Crude Oil Tanker,Iran,"160,576"
FOREST,9283760,IRAN,Chemical/Products Tanker,Iran,"25,214"
HERO II,9362073,IRAN,Crude Oil Tanker,Iran,"163,650"
HENNA,9212929,IRAN,Crude Oil Tanker,Iran,"160,930"
AMBER,9357406,IRAN,Crude Oil Tanker,Iran,"163,660"
HASNA,9212917,IRAN,Crude Oil Tanker,Iran,"160,930"
HUGE,9357183,IRAN,Crude Oil Tanker,Iran,"163,660"
HAPPINESS I,9212905,IRAN] [SDGT,Crude Oil Tanker,Iran,"160,930"
HELM,9357391,IRAN,Crude Oil Tanker,Iran,"163,660"
HERBY,9362059,IRAN,Crude Oil Tanker,Iran,"163,660"
HILDA I,9357389,IRAN,Crude Oil Tanker,Iran,"163,660"
HAWK,9362061,IRAN,Crude Oil Tanker,Iran,"163,660"
HALTI,9212890,IRAN,Crude Oil Tanker,Iran,"160,930"
HEDY,9212888,IRAN,Crude Oil Tanker,Iran,"160,930"
IMICO NEKA 455,9404546,IRAN,Shuttle Tanker,Iran,"40,800"
FORTUNE,9283746,IRAN,Chemical/Products Tanker,Iran,"25,214"
MARIVAN,8517243,IRAN,Bunkering Tanker,Iran,478
NASHA,9079107,IRAN,Crude Oil Tanker,Iran,"156,809"
NAVARZ,9079078,IRAN,Crude Oil Tanker,Iran,"156,809"
NAROON,9079066,IRAN,Crude Oil Tanker,Iran,"156,809"
SEA STAR III,9569205,IRAN,Crude Oil Tanker,Iran,"165,000"
SABITI,9172040,IRAN,Crude Oil Tanker,Panama,"81,479"
SARDASHT,8517231,IRAN,Landing Craft,Iran,478
SALINA,9357377,IRAN,Crude Oil Tanker,Iran,"85,462"
SILVIA I,9172052,IRAN,Crude Oil Tanker,Iran,"81,479"
SANAN,9171462,IRAN,Crude Oil Tanker,Iran,"81,479"
STARK I,9171450,IRAN,Crude Oil Tanker,Iran,"81,479"
SEVIN,9357353,IRAN,Crude Oil Tanker,Iran,"85,462"
SONIA I,9357365,IRAN,Crude Oil Tanker,Iran,"85,462"
SEA CLIFF,9569657,IRAN,Crude Oil Tanker,Iran,"165,000"
STREAM,9569633,IRAN,Crude Oil Tanker,Iran,"165,000"
SERENA,9569645,IRAN,Crude Oil Tanker,Iran,"165,000"
SNOW,9569619,IRAN,Crude Oil Tanker,Panama,"165,000"
SINOPA,9172038,IRAN] [SDGT,Crude Oil Tanker,Iran,"81,479"
TOLOU,8318178,IRAN,Crew/Supply Vessel,Iran,178
VALFAJR2,8400103,IRAN,Tug,Iran,419
YAGHOUB,8316168,IRAN,Platform Supply Ship,Iran,"1,019"
YOUSEF,8316106,IRAN,Offshore Tug/Supply Ship,Iran,584
DESTINY,9177155,IRAN] [SDGT,Crude Oil Tanker,Iran,
FELICITY,9183934,IRAN,Crude Oil Tanker,Iran,
HUMANITY,9180281,IRAN,Crude Oil Tanker,Iran,
BADR,8407345,IRAN,,Iran,
STARLA,9569621,IRAN,Crude Oil Tanker,Iran,
DANIEL,9569683,IRAN,Crude Oil Tanker,Iran,
DINO I,9569671,IRAN,Crude Oil Tanker,Iran,
MARIA III,9615092,IRAN,LPG Tanker,Panama,
DORENA,9569669,IRAN,Crude Oil Tanker,Iran,
YOUNES,8212465,IRAN,Platform Supply Ship,Iran,
DAN,9357729,IRAN,Crude Oil Tanker,Iran,
CHONG CHON GANG,7937317,DPRK,General Cargo,Democratic People's Republic of Korea,
AM NOK GANG,8132835,DPRK,General Cargo,Democratic People's Republic of Korea,
BAEK MA KANG,7944683,DPRK,General Cargo,Democratic People's Republic of Korea,
DAI HONG DAN,7944695,DPRK,General Cargo,Democratic People's Republic of Korea,
HWANG GUM SAN 2,8405270,DPRK,General Cargo,Democratic People's Republic of Korea,
HYOK SIN 2,8018900,DPRK,Bulk Carrier,Democratic People's Republic of Korea,
JANG JA SAN CHONG NYON HO,8133530,DPRK,Bulk Carrier,Democratic People's Republic of Korea,
JON JIN 2,8018912,DPRK,Bulk Carrier,Democratic People's Republic of Korea,
DOK CHON,7411260,DPRK,General Cargo,Democratic People's Republic of Korea,
MU DU BONG,8328197,DPRK,General Cargo,Democratic People's Republic of Korea,
O UN CHONG NYON HO,8330815,DPRK,General Cargo,Democratic People's Republic of Korea,
PO THONG GANG,8829555,DPRK,General Cargo,Democratic People's Republic of Korea,
PHO THAE,7632955,DPRK,General Cargo,Democratic People's Republic of Korea,
PI RUY GANG,8829593,DPRK,General Cargo,Democratic People's Republic of Korea,
RAK WON 2,8819017,DPRK,General Cargo,Democratic People's Republic of Korea,
RYONG GANG 2,7640378,DPRK,General Cargo,Democratic People's Republic of Korea,
RYONG GUN BONG,,DPRK,General Cargo,Democratic People's Republic of Korea,
TAE DONG GANG,7738656,DPRK,General Cargo,Democratic People's Republic of Korea,
DAWNLIGHT,9110236,DPRK,General Cargo,Mongolia,
EVER BRIGHT 88,8914934,DPRK,,Sierra Leone,
GOLD STAR 3,8405402,DPRK,,Cambodia,
JH 86,8602531,DPRK,,Cambodia,
JIN TAI,9163154,DPRK,,Sierra Leone,
JIN TENG,9163166,DPRK,,Sierra Leone,
ORION STAR,9333589,DPRK,,,
SOUTH HILL 2,8412467,DPRK,,Sierra Leone,
SOUTH HILL 5,9138680,DPRK,,Palau,
GRAND KARO,8511823,DPRK,,Cambodia,
CHONG BONG,8909575,DPRK3,,Democratic People's Republic of Korea,
CHONG RIM 2,8916293,DPRK3,,Democratic People's Republic of Korea,
VICTORY 2,8312227,DPRK3,,Mongolia,
HOE RYONG,9041552,DPRK3,,Democratic People's Republic of Korea,
MI RIM,8713471,DPRK3,,Democratic People's Republic of Korea,
MI RIM 2,9361407,DPRK3,,Democratic People's Republic of Korea,
RA NAM 2,8625545,DPRK3,,Democratic People's Republic of Korea,
RA NAM 3,9314650,DPRK3,,Democratic People's Republic of Korea,
RYO MYONG,8987333,DPRK3,,Democratic People's Republic of Korea,
THAE PYONG SAN,9009085,DPRK3,,Democratic People's Republic of Korea,
TONG HUNG 1,8661575,DPRK3,,Democratic People's Republic of Korea,
MARSHAL ZHUKOV,9690224,UKRAINE-EO13685,,Russia,
STALINGRAD,9690212,UKRAINE-EO13685,,Russia,
WON SAN 2,9159787,DPRK4,,Democratic People's Republic of Korea,
ZA RYOK 2,8898738,DPRK4,,Democratic People's Republic of Korea,
7-28,8898831,DPRK4,,Democratic People's Republic of Korea,
YU SONG 12,9096791,DPRK4,,Democratic People's Republic of Korea,
YU SONG 7,8400854,DPRK4,,Democratic People's Republic of Korea,
JANG GYONG,8203933,DPRK4,,Democratic People's Republic of Korea,
KUM SONG 3,8661850,DPRK4,,Democratic People's Republic of Korea,
KUM SONG 5,8661719,DPRK4,,Democratic People's Republic of Korea,
KUM SONG 7,8739396,DPRK4,,Democratic People's Republic of Korea,
KUM UN SAN 3,8705539,DPRK4,,Democratic People's Republic of Korea,
RAK RANG,7506118,DPRK4,,Democratic People's Republic of Korea,
PU HUNG 1,8703933,DPRK4,,Democratic People's Republic of Korea,
RUNG RA DO,8989795,DPRK4,,Democratic People's Republic of Korea,
YANG GAK DO,6401828,DPRK4,,Democratic People's Republic of Korea,
RUNG RA 1,8713457,DPRK4,,Democratic People's Republic of Korea,
RUNG RA 2,9020534,DPRK4,,Democratic People's Republic of Korea,
KANG SONG 1,6908096,DPRK4,,Democratic People's Republic of Korea,
KU BONG RYONG,8983404,DPRK4,,Democratic People's Republic of Korea,
RYE SONG GANG 1,7389704,DPRK4,,Democratic People's Republic of Korea,
